metric,value
pool_dod_at0.8_frac,0.1407511111111111
pool_dod_at0.1_frac,0.0
pool_dod_mean,0.4997568428516388
pool_dod_std,0.23395973443984985
pool_dod_max,0.800000011920929
pool_dod_P10,0.14071668684482574
pool_dod_P50,0.5136419534683228
pool_dod_P90,0.800000011920929
pool_dod_P95,0.800000011920929
pool_dod_P99,0.800000011920929
perstar_touch0.8_mean,0.1407511111111111
perstar_touch0.8_median,0.07851851851851852
perstar_touch0.8_P90,0.3922592592592592
perstar_touch0.8_max,0.49277777777777776
run0.8_global_max_slots,2622.0
run0.8_perstar_mean,680.76
run0.8_perstar_median,381.5
run0.8_perstar_P90,1775.3999999999999
run0.8_perstar_max,2622.0
pool_fcmp_mean,483015104.0
pool_fcmp_max,2000000000.0
pool_fcmp_P50,423589312.0
pool_fcmp_P90,1125627136.0
pool_fcmp_P95,1690300672.0
pool_fcmp_P99,2000000000.0
pool_fcmp_ge0.95cn_frac,0.040511851851851854
pool_comp_power_mean,6.685712814331055
pool_comp_power_max,80.0
pool_comp_power_P90,14.262103080749512
pool_comp_power_P95,48.29384994506836
high_dod_mean,0.6602840423583984
high_dod_at0.8_frac,0.3375592592592593
high_dod_at0.1_frac,0.0
low_dod_mean,0.4596250653266907
low_dod_at0.8_frac,0.09154907407407407
low_dod_at0.1_frac,0.0
pool_delta_mean,8.669571252539754e-05
high_delta_mean,0.0001861548807937652
low_delta_mean,6.183091318234801e-05
lprime_at_dodmin(0.1),0.22564595535206794
lprime_at_dodmax(0.8),1.7113507664450425
lprime_visited_mean,0.9091206978861881
lprime_visited_std,0.5270031342895872
lprime_visited_min,0.225752465439779
lprime_visited_max,1.7113508355126055
lprime_visited_P10,0.258625528923183
lprime_visited_P90,1.7113508355126055
lprime_visited_cv(std/mean),0.5796844528069057
lprime_high_mean,1.2953282811027051
lprime_low_mean,0.8125688020820591
