train_slot,env_slot,system_reward_sum,mean_agent_reward,arrived,done_tasks,slot_satisfied,completion_rate_episode,avg_dod,system_lifetime_loss,comp_energy_j,trans_energy_j,dynamic_energy_j
1,0,-0.18605028881470034,-0.007442011552588014,25,0,0,0.0,0.38265380849790875,6.2264213465106875e-06,114.53827380364868,0.38546772626204817,114.92374152991073
2,1,18.778182684449803,0.7511273073779922,16,2,2,0.04878048780487805,0.3825366143017034,0.00015267542015200012,321.536807345626,0.4440428956901822,321.9808502413162
3,2,27.620566035917854,1.1048226414367142,25,5,5,0.10606060606060606,0.3824358772309855,0.0003569340920823389,333.3450350916228,0.6475156108595743,333.99255070248233
4,3,74.284940665067,2.97139762660268,22,9,9,0.18181818181818182,0.38235678756042096,0.0007190236676156236,477.97118689121567,0.6294367428823477,478.60062363409804
5,4,34.26578186121436,1.3706312744485742,26,10,10,0.22807017543859648,0.3824473308466922,0.0027409624948994695,731.7716729987501,0.5007484999518347,732.2724214987019
6,5,79.54197262126793,3.1816789048507172,22,21,21,0.34558823529411764,0.3827136450859915,0.005781585833853524,551.7132283080897,0.48488185756425056,552.1981101656539
7,6,136.09864263578453,5.443945705431381,26,20,20,0.41358024691358025,0.38283958720138067,0.0031837165882580526,533.3853222231479,0.6221060299781488,534.007428253126
8,7,113.37764674357558,4.535105869743023,25,15,15,0.4385026737967914,0.38287255271318194,0.0018212746637235554,310.38900972874137,0.7810467741967723,311.17005650293817
9,8,80.35677121851344,3.214270848740538,23,12,12,0.44761904761904764,0.3828377404632525,0.0013170860347336553,480.8058408098054,0.8823953583576996,481.6882361681631
10,9,88.86736233387661,3.5546944933550644,22,12,12,0.45689655172413796,0.38277362679746174,0.0008704730931050039,609.0425183484093,0.7480653295171407,609.7905836779264
11,10,139.75803819298832,5.590321527719533,28,25,25,0.5038461538461538,0.3829510874781081,0.004724516929116112,668.6564337530301,0.786312704061511,669.4427464570916
12,11,42.649321273539286,1.7059728509415715,27,12,12,0.49825783972125437,0.38292564262017775,0.001446012549528438,740.8627279619851,0.7024084085633319,741.5651363705484
13,12,43.81301739930788,1.7525206959723152,31,15,15,0.4968553459119497,0.3831291438597894,0.005035384314114173,557.382670464229,0.8485850173716625,558.2312554816007
