train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
64,0,1,-105.97050496553055,-1.6557891400864149,0.7436464088397791,905,673,178,0,3.6448736998514115,6.0,673,4318.913538531626,4293.86915011759,25.044388414035076,67.48302403955665,0.002455832601791206,0.06139581504478015,3.8372384402987595e-05,0.3602091637438276,64
128,1,2,-160.78729442727843,-2.5123014754262254,0.7833511205976521,937,734,211,0,3.619891008174387,6.0,734,5554.425607370789,5528.038351787308,26.38725558348184,86.78790011516858,0.0031096915273055806,0.07774228818263952,4.85889301141497e-05,0.35764045135324013,64
192,2,3,-163.8415731454636,-2.5600245803978687,0.8072009291521487,861,695,162,0,3.720863309352518,6.0,695,5457.476882537888,5433.559994720384,23.91688781750393,85.2730762896545,0.0031063010190563243,0.07765752547640811,4.853595342275507e-05,0.35592352252761406,64
256,3,4,-175.3954109153391,-2.7405532955521736,0.7904451682953312,921,728,188,0,3.7252747252747254,6.0,728,5415.497071268069,5388.989371303038,26.50769996503254,84.61714173856357,0.003268495122576803,0.08171237806442008,5.107023629026255e-05,0.3537941819280145,64
320,4,5,-141.03409217159967,-2.203657690181245,0.7878787878787878,891,702,189,0,3.6695156695156697,6.0,702,4989.2063521266455,4963.2394581839735,25.96689394267153,77.95634925197884,0.0028622458101089003,0.07155614525272251,4.472259078295157e-05,0.35173886498113216,64
384,5,6,-165.69108804508602,-2.588923250704469,0.8122866894197952,879,714,174,0,3.6176470588235294,6.0,714,5649.986083526904,5626.692213051485,23.293870475416607,88.28103255510787,0.003154730095695339,0.07886825239238347,4.929265774523967e-05,0.34966655965614235,64
448,6,7,-202.22106668265207,-3.1597041669164385,0.813953488372093,946,770,175,0,3.6155844155844155,6.0,770,6233.54615442836,6208.894754219417,24.651400208941194,97.39915866294312,0.0036528982325544496,0.09132245581386124,5.7076534883663274e-05,0.34982056224943026,64
512,7,8,-135.36499442663967,-2.115078037916245,0.7955082742316785,846,673,177,0,3.5898959881129273,6.0,673,4367.49226901743,4343.128346910717,24.363922106712604,68.24206670339734,0.0027501049001276436,0.06875262250319109,4.297038906449443e-05,0.3495867436086837,64
576,8,9,-211.8219269829962,-3.3097176091093155,0.7924944812362031,906,718,190,0,3.6880222841225625,6.0,718,5980.841332290768,5954.4193769062285,26.421955384541672,93.45064581704325,0.003605771993143749,0.09014429982859372,5.6340187392871077e-05,0.3517986561341807,64
640,9,10,-199.50790301467273,-3.1173109846042615,0.7807017543859649,912,712,199,0,3.7191011235955056,6.0,712,6241.675663629426,6215.414991838646,26.260671790779234,97.52618224420978,0.0034571003302492458,0.08642750825623115,5.4017192660144465e-05,0.3552963391487802,64
704,10,11,-122.65578954100975,-1.9164967115782774,0.7687224669603524,908,698,197,0,3.840974212034384,6.0,698,4750.260251656629,4722.609571834675,27.6506798219525,74.22281643213483,0.0026588153221583943,0.06647038305395986,4.154398940872491e-05,0.3593050378909042,64
768,11,12,-215.17238623516533,-3.3620685349244583,0.7866666666666666,900,708,194,0,3.7401129943502824,6.0,708,5637.780636541303,5611.408202733513,26.372433807789953,88.09032244595785,0.0036109814342134396,0.09027453585533599,5.6421584909584994e-05,0.3633983979829869,64
832,12,13,-212.28896590895056,-3.3170150923273525,0.7637540453074434,927,708,226,0,3.805084745762712,6.0,708,5305.8773037962765,5278.637602342409,27.23970145386734,82.90433287181682,0.003542266281871253,0.08855665704678133,5.534791065423833e-05,0.36679620025581927,64
896,13,14,-276.39224758940566,-4.318628868584463,0.7805383022774327,966,754,211,0,3.7944297082228116,6.0,754,6466.336405326502,6437.248206726231,29.088198600271916,101.0365063332266,0.004314213375353258,0.10785533438383145,6.740958398989466e-05,0.3714074082103341,64
960,14,15,-261.02634178256585,-4.078536590352591,0.7736051502145923,932,721,216,0,3.8044382801664356,6.0,721,5542.604834128621,5514.739108750412,27.865725378208438,86.60320053325971,0.004072577218641694,0.10181443046604235,6.363401904127647e-05,0.3770046509808583,64
1024,15,16,-270.0037121407395,-4.218808002199054,0.7925925925925926,945,749,188,0,3.9145527369826434,6.0,749,5878.0028908797885,5849.480970437755,28.521920442032197,91.8437951699967,0.004262071293480528,0.1065517823370132,6.659486396063325e-05,0.382385392980331,64
1088,16,17,-335.9732983470136,-5.249582786672088,0.7673469387755102,980,752,208,0,3.845744680851064,6.0,752,6441.770627166603,6411.487909415995,30.282717750602067,100.65266604947817,0.00490609895041287,0.12265247376032175,7.66577961002011e-05,0.3880417807633476,64
1152,17,18,-350.3016409308616,-5.473463139544712,0.8034934497816594,916,736,202,0,3.671195652173913,6.0,736,5928.6500655712925,5902.617996638152,26.03206893314278,92.63515727455145,0.005016730571191501,0.12541826427978753,7.83864151748672e-05,0.39315024483174327,64
1216,18,19,-343.31498401448914,-5.364296625226393,0.7947598253275109,916,728,195,0,3.6868131868131866,6.0,728,5198.752405688374,5173.1920368959345,25.560368792441473,81.23050633888084,0.0049359524522401155,0.12339881130600289,7.71242570662518e-05,0.3969726289619071,64
1280,19,20,-384.49754258158197,-6.007774102837218,0.8050660792951542,908,731,168,0,3.8522571819425444,6.0,731,6028.9244336294405,6000.843595003149,28.080838626291765,94.20194427546001,0.005389203181618311,0.13473007954045776,8.420629971278611e-05,0.40047482160275316,64
1344,20,21,-228.84395871861494,-3.5756868549783585,0.7800429184549357,932,727,208,0,3.7592847317744154,6.0,727,5253.16766912249,5225.991208727958,27.176460394528938,82.08074483003891,0.003774760155520637,0.09436900388801593,5.898062743000995e-05,0.40455404637261705,64
1408,21,22,-406.112897909971,-6.345514029843297,0.7692307692307693,975,750,221,0,3.86,6.0,750,6218.02090190693,6188.795266795463,29.22563511146467,97.15657659229578,0.005584851579245917,0.13962128948114794,8.726330592571745e-05,0.4081716589263338,64
1472,22,23,-318.8804322297459,-4.98250675358978,0.7725788900979326,919,710,204,0,3.788732394366197,6.0,710,4707.128830374159,4678.760928563731,28.367901810429505,73.54888797459624,0.004636711586263545,0.11591778965658861,7.244861853536788e-05,0.41067266271183056,64
1536,23,24,-273.0900133681238,-4.267031458876934,0.7744360902255639,931,721,200,0,3.9472954230235784,6.0,721,4850.332459838856,4820.6603235685925,29.67213627026413,75.78644468498213,0.0042109646150713465,0.10527411537678366,6.579632211048979e-05,0.4127309018420668,64
1600,24,25,-368.11676016231434,-5.7518243775361615,0.780982905982906,936,731,219,0,3.926128590971272,6.0,731,5175.11862439323,5145.916908220619,29.201716172611274,80.86122850614422,0.005162205990492462,0.12905514976231156,8.065946860144472e-05,0.414331968842603,64
1664,25,26,-382.53680747186036,-5.977137616747818,0.7833152762730228,923,723,197,0,3.8423236514522823,6.0,723,4983.381880160763,4956.053700465881,27.32817969488276,77.86534187751192,0.005314218771685272,0.1328554692921318,8.303466830758237e-05,0.4149063178130335,64
1728,26,27,-366.5100993293876,-5.726720302021681,0.7581151832460733,955,724,217,0,3.8549723756906076,6.0,724,5279.517083690691,5250.131509615618,29.385574075070565,82.49245443266705,0.005130582248019338,0.12826455620048346,8.016534762530216e-05,0.4176256219077855,64
1792,27,28,-410.4050329850953,-6.412578640392114,0.8,915,732,199,0,3.912568306010929,6.0,732,5446.090627616771,5418.072861999865,28.01776561690179,85.09516605651204,0.005610712735721521,0.14026781839303804,8.766738649564877e-05,0.42140707724997617,64
1856,28,29,-396.2814417054561,-6.191897526647751,0.7866242038216561,942,741,202,0,3.8110661268556005,6.0,741,5214.884440162275,5186.753528322337,28.13091183993783,81.48256937753554,0.005487978576644904,0.1371994644161226,8.574966526007662e-05,0.4243914748115355,64
1920,29,30,-409.229882367339,-6.3942169119896715,0.7618002195389681,911,694,221,0,3.8054755043227666,6.0,694,5254.198779833904,5227.152472692564,27.04630714134045,82.09685593490475,0.005482521770305778,0.13706304425764446,8.566440266102778e-05,0.4266798401977512,64
1984,30,31,-407.4647190071074,-6.366636234486053,0.7821229050279329,895,700,186,0,3.665714285714286,6.0,700,4923.207035665221,4898.396143732997,24.810891932223825,76.92510993226908,0.005522125389969368,0.1380531347492342,8.628320921827137e-05,0.4282349590783008,64
2048,31,32,-395.96235467564014,-6.186911791806877,0.7801724137931034,928,724,209,0,3.708563535911602,6.0,724,5194.860830762255,5168.5727904322985,26.28804032995892,81.16970048066024,0.005436871624828172,0.1359217906207043,8.495111913794019e-05,0.4300555517990938,64
2112,32,33,-380.83097471866694,-5.950483979979171,0.782051282051282,936,732,207,0,3.860655737704918,6.0,732,5575.794842408736,5546.959768658475,28.835073750261486,87.1217944126365,0.005304059435363195,0.13260148588407988,8.287592867754992e-05,0.4320477607125802,64
2176,33,34,-253.53871734330488,-3.9615424584891388,0.7375415282392026,903,666,227,0,3.7672672672672673,6.0,666,4671.789435307483,4645.553662113568,26.235773193914074,72.99670992667942,0.0038510787942442268,0.09627696985610568,6.0173106160066043e-05,0.4336406482515428,64
2240,34,35,-403.87518248205237,-6.310549726282068,0.774054054054054,925,716,196,0,3.833798882681564,6.0,716,5815.200007750361,5787.5369741641125,27.663033586249956,90.86250012109939,0.005510137022322181,0.1377534255580545,8.609589097378407e-05,0.4349656740392447,64
2304,35,36,-433.15456830544383,-6.76804012977256,0.7903743315508022,935,739,221,0,3.8633288227334237,6.0,739,5339.241057245223,5311.755128091743,27.485929153480598,83.4256415194566,0.005829380098847789,0.1457345024711947,9.10840640444967e-05,0.43523785351733735,64
2368,36,37,-511.8852366576707,-7.998206822776105,0.7442094662638469,993,739,247,0,3.7415426251691475,6.0,739,5985.776443496818,5956.9012447062405,28.875198790574373,93.52775692963777,0.006583329089315561,0.164583227232889,0.00010286451702055564,0.4366783987319833,64
2432,37,38,-361.6816273905297,-5.651275427977026,0.787746170678337,914,720,208,0,3.970833333333333,6.0,720,5233.0618528019495,5204.848609253382,28.2132435485658,81.76659145003046,0.0050837651214877865,0.12709412803719466,7.943383002324666e-05,0.43798240972659747,64
2496,38,39,-441.4685079668343,-6.897945436981786,0.7749712973593571,871,675,191,0,3.668148148148148,6.0,675,5169.786652855827,5143.490723488807,26.29592936701744,80.7779164508723,0.005791308179008563,0.14478270447521407,9.04891902970088e-05,0.43862346696048893,64
2560,39,40,-461.96218306361027,-7.2181591103689104,0.782791185729276,953,746,193,0,3.695710455764075,6.0,746,5845.203270379562,5818.276582755428,26.926687624138626,91.33130109968066,0.006166427960257061,0.1541606990064265,9.635043687901658e-05,0.43909606704277326,64
2624,40,41,-551.6867314802239,-8.620105179378498,0.8031914893617021,940,755,186,0,3.667549668874172,6.0,755,6418.390213941624,6392.574421890911,25.815792050713505,100.28734709283788,0.007091981690700527,0.17729954226751318,0.00011081221391719573,0.4395780086752792,64
2688,41,42,-456.08594222691545,-7.126342847295554,0.8035714285714286,896,720,179,0,3.6791666666666667,6.0,720,5192.8625356267075,5167.621295002018,25.241240624689862,81.1384771191673,0.006063840967697337,0.15159602419243343,9.47475151202709e-05,0.43960028355830055,64
2752,42,43,-303.34036883223536,-4.739693263003677,0.7783842794759825,916,713,203,0,3.7251051893408134,6.0,713,4498.8046111224685,4472.14899997948,26.655611142990487,70.29382204878857,0.004490229532253485,0.11225573830633713,7.015983644146071e-05,0.4386578531344579,64
2816,43,44,-289.28416710022367,-4.520065110940995,0.7817982456140351,912,713,204,0,3.7938288920056102,6.0,713,4514.756208942614,4488.148330250358,26.60787869225327,70.54306576472834,0.004348383591195203,0.10870958977988007,6.794349361242505e-05,0.437626054895073,64
2880,44,45,-471.4560099312062,-7.366500155175097,0.7793667007150153,979,763,222,0,3.7326343381389253,6.0,763,5978.447761162915,5951.488513888503,26.9592472744119,93.41324626817055,0.006267688794064734,0.15669221985161835,9.793263740726146e-05,0.43672842545485446,64
2944,45,46,-467.96722195762504,-7.311987843087891,0.7832618025751072,932,730,198,0,3.76027397260274,6.0,730,5912.0307982584645,5885.235406974252,26.795391284209117,92.37548122278851,0.006183613891326464,0.1545903472831616,9.6618967051976e-05,0.4355127902715248,64
3008,46,47,-480.7939642848107,-7.512405691950168,0.8329694323144105,916,763,160,0,3.512450851900393,6.0,763,6092.628009273073,6068.922314429769,23.7056948433031,95.19731264489177,0.006435776019516143,0.16089440048790357,0.00010055900030493973,0.4349174174543762,64
3072,47,48,-435.9281007241908,-6.8113765738154814,0.7963752665245203,938,747,173,0,3.5903614457831323,6.0,747,5645.801124290848,5621.6814604850815,24.119663805764574,88.2156425670445,0.005931385479896759,0.14828463699741895,9.267789812338685e-05,0.43504178832760904,64
3136,48,49,-619.9242463359544,-9.686316348999288,0.8119747899159664,952,773,185,0,3.5329883570504528,6.0,773,6668.528608073791,6643.433554580756,25.095053493035085,104.19575950115298,0.007820950784337989,0.19552376960844972,0.00012220235600528107,0.43516881661969364,64
3200,49,50,-330.21839988120416,-5.159662498143815,0.798216276477146,897,716,191,0,3.6620111731843576,6.0,716,4592.858262567899,4569.072918000999,23.78534456689871,71.76341035262342,0.00477937840131603,0.11948446003290075,7.467778752056297e-05,0.43475442938283887,64
3264,50,51,-505.6460231751381,-7.900719112111533,0.7722457627118644,944,729,192,0,3.567901234567901,6.0,729,5829.411003022884,5805.387831630176,24.023171392708857,91.08454692223256,0.006561996434395633,0.16404991085989082,0.00010253119428743176,0.43309961654414597,64
3328,51,52,-630.4306201007923,-9.85047843907488,0.7867965367965368,924,727,203,0,3.5281980742778543,6.0,727,6403.505459517551,6380.000999235926,23.504460281626454,100.05477280496173,0.0077909255901835745,0.19477313975458938,0.00012173321234661835,0.4328329507338222,64
3392,52,53,-425.00696235685155,-6.640733786825805,0.7864806866952789,932,733,206,0,3.7148703956343794,6.0,733,5078.293385970848,5052.146033398006,26.147352572839303,79.3483341557945,0.005749912472348517,0.14374781180871293,8.984238238044558e-05,0.43178931341287896,64
3456,53,54,-474.52596135027716,-7.414468146098081,0.7841726618705036,973,763,200,0,3.747051114023591,6.0,763,5693.462025116774,5666.777431343769,26.684593773006384,88.9603441424496,0.006322219371780646,0.15805548429451616,9.878467768407259e-05,0.42976592046367346,64
3520,54,55,-493.1893848971206,-7.706084139017509,0.7871396895787139,902,710,196,0,3.6577464788732392,6.0,710,5705.138858836686,5679.7782410114305,25.36061782525844,89.14279466932322,0.006387331916174893,0.15968329790437233,9.980206119023271e-05,0.4276647171313006,64
3584,55,56,-458.7841820515597,-7.16850284455562,0.7544596012591815,953,719,236,0,3.655076495132128,6.0,719,6236.585742918643,6210.471322056612,26.11442086203097,97.44665223310379,0.006015407378280814,0.15038518445702034,9.399074028563772e-05,0.42509666983458794,64
3648,56,57,-500.5457854166845,-7.8210278971356955,0.7797131147540983,976,761,224,0,3.647831800262812,6.0,761,6014.647286495305,5986.836854348884,27.810432146420748,93.97886385148914,0.006548890251031763,0.16372225627579406,0.0001023264101723713,0.42371295395313957,64
3712,57,58,-407.7981777715472,-6.371846527680425,0.7843986998916577,923,724,200,0,3.6671270718232045,6.0,724,5521.035254815527,5495.296228820036,25.739025995491254,86.26617585649261,0.005565193308136057,0.13912983270340143,8.695614543962589e-05,0.4225461941068732,64
3776,58,59,-362.79708380217176,-5.668704434408934,0.7878440366972477,872,687,175,0,3.614264919941776,6.0,687,4963.990070943713,4940.155993332791,23.834077610923263,77.56234485849552,0.005056863929181441,0.12642159822953603,7.901349889346002e-05,0.42060021689863614,64
3840,59,60,-419.83334136751915,-6.559895958867487,0.7914438502673797,935,740,201,0,3.764864864864865,6.0,740,5476.102735731703,5450.025674166044,26.077061565657953,85.56410524580787,0.005720001575924272,0.14300003939810682,8.937502462381676e-05,0.4197769677405292,64
3904,60,61,-465.89292192887865,-7.279576905138729,0.8027426160337553,948,761,194,0,3.7148488830486204,6.0,761,6030.797773937683,6004.382977255695,26.414796681989934,94.2312152177763,0.006241196241730537,0.15602990604326342,9.751869127703964e-05,0.4188158293337737,64
3968,61,62,-433.3279978718143,-6.770749966747099,0.7766666666666666,900,699,195,0,3.6824034334763946,6.0,699,5411.623379218103,5385.882185514663,25.741193703439233,84.55661530028286,0.00576566737869641,0.14414168446741024,9.00885527921314e-05,0.4180761175877453,64
