train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
64,0,57,-84.65212392656939,-1.3226894363526467,0.7215469613259669,905,653,190,0,3.889739663093415,6.0,653,3743.796330599187,3715.728301295823,28.068029303364536,58.4968176656123,0.002181041164341822,0.05452602910854555,3.407876819284097e-05,0.3599799508454731,64
128,1,121,-178.40925007475803,-2.7876445324180943,0.7225186766275347,937,677,264,0,4.267355982274742,6.0,677,5538.662377681737,5503.413180294803,35.2491973869329,86.54159965127714,0.003084543539179143,0.07711358847947858,4.819599279967411e-05,0.35702815984117253,64
192,2,185,-226.6726762465645,-3.54176056635257,0.7119628339140535,861,613,247,0,4.719412724306689,7.0,613,6151.208240442073,6114.648258703815,36.55998173825662,96.11262875690738,0.003440748612087972,0.0860187153021993,5.376169706387456e-05,0.355794356926835,64
256,3,249,-186.01720675923684,-2.9065188556130757,0.7285559174809989,921,671,247,0,4.502235469448584,6.0,671,5350.104212771598,5314.063732935848,36.04047983574649,83.59537832455622,0.003166885098446131,0.07917212746115328,4.9482579663220796e-05,0.354033779576045,64
320,4,313,-249.3841206667139,-3.8966268854174047,0.6868686868686869,891,612,271,0,4.7026143790849675,6.0,612,6613.341512720885,6576.312971462324,37.028541258562164,103.33346113626382,0.0036340925515087196,0.09085231378771799,5.678269611732374e-05,0.3520066854054533,64
384,5,377,-328.4916225673848,-5.132681602615388,0.6598407281001137,879,580,312,0,5.029310344827586,7.0,580,7544.549755903901,7507.897715423682,36.652040480219384,117.88358993599846,0.004300889036026001,0.10752222590065003,6.720139118790627e-05,0.35259223449589683,64
448,6,441,-238.395041236412,-3.7249225193189375,0.6987315010570825,946,661,278,0,4.8245083207261725,7.0,661,6606.821779928766,6566.1660483804535,40.65573154831103,103.23159031138697,0.0036331627678272862,0.09082906919568215,5.676816824730135e-05,0.3524969511149262,64
512,7,505,-219.2277932354971,-3.4254342693046422,0.6796690307328606,846,575,285,0,4.789565217391305,6.2999999999999545,575,5628.007096546192,5591.938879942907,36.06821660328798,87.93761088353425,0.003227072203451883,0.08067680508629707,5.042300317893567e-05,0.35520460045261953,64
576,8,569,-247.93047631497785,-3.873913692421529,0.6854304635761589,906,621,282,0,4.7729468599033815,7.0,621,5922.915915423709,5883.577828024598,39.33808739910921,92.54556117849545,0.0036267267347079345,0.09066816836769837,5.666760522981148e-05,0.35712686733102006,64
640,9,633,-328.2362689505208,-5.128691702351888,0.6677631578947368,912,609,309,0,4.922824302134647,7.0,609,6344.905145347612,6305.722712378612,39.18243296900148,99.13914289605644,0.004368914411531913,0.10922286028829783,6.826428768018615e-05,0.36127465513039436,64
