train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
64,0,1,-126.03101428178512,-1.9692345981528925,0.7491712707182321,905,678,176,0,3.6002949852507373,6.0,678,4666.937999003589,4642.672397093254,24.265601910332364,72.92090623443107,0.002671483712430718,0.06678709281076795,4.1741933006729966e-05,0.3602695504006264,64
128,1,2,-165.74967046864023,-2.5898386010725036,0.7897545357524013,937,740,198,0,3.6,6.0,740,5495.134453538852,5469.372261304223,25.762192234627733,85.86147583654456,0.0031895769052876295,0.07973942263219073,4.983713914511921e-05,0.35808728461545597,64
192,2,3,-113.90066566933211,-1.7796979010833143,0.7874564459930313,861,678,179,0,3.8451327433628317,6.0,678,4428.37161367604,4402.983571895161,25.388041780878787,69.19330646368813,0.0025447503743281853,0.06361875935820463,3.9761724598877896e-05,0.3557776886148421,64
256,3,4,-186.47189828382707,-2.913623410684798,0.7980456026058632,921,735,180,0,3.6775510204081634,6.0,735,5870.744688658784,5846.136054190008,24.608634468776483,91.7303857602935,0.0034053734460377377,0.08513433615094344,5.320896009433965e-05,0.35320443301416476,64
320,4,5,-121.21595123447592,-1.8939992380386863,0.8215488215488216,891,732,168,0,3.6598360655737703,6.0,732,4812.093765531535,4787.297283726628,24.79648180490495,75.18896508643023,0.0027612714572553564,0.06903178643138391,4.3144866519614944e-05,0.3511483180122718,64
384,5,6,-131.62690946243956,-2.056670460350618,0.8065984072810012,879,709,175,0,3.7376586741889986,6.0,709,4998.280378340575,4973.70863610402,24.57174223655646,78.09813091157149,0.0028021382211578026,0.07005345552894507,4.3783409705590666e-05,0.34918933429128507,64
448,6,7,-155.59522349675694,-2.4311753671368272,0.781183932346723,946,739,200,0,3.8592692828146142,6.0,739,5416.443950726196,5388.787421938436,27.6565287877622,84.63193673009681,0.0030837341299375562,0.07709335324843891,4.8183345780274316e-05,0.3483916324753841,64
512,7,8,-141.2060341354022,-2.2063442833656595,0.7813238770685579,846,661,194,0,3.81089258698941,6.0,661,4703.941776846409,4679.007292713454,24.934484132954935,73.49909026322514,0.0027596992112698185,0.06899248028174546,4.3120300176090914e-05,0.347524077420852,64
576,8,9,-218.79303580389376,-3.41864118443584,0.7924944812362031,906,718,190,0,3.7743732590529246,6.0,718,5678.500541977599,5650.905148855796,27.595393121805376,88.72657096839998,0.0036754903534776183,0.09188725883694046,5.7429536773087786e-05,0.3494985859023082,64
640,9,10,-214.4867679912017,-3.3513557498625266,0.7675438596491229,912,700,212,0,3.7,6.0,700,5544.784617612541,5519.394769361234,25.389848251307658,86.63725965019596,0.003562244453017475,0.08905611132543688,5.566006957839805e-05,0.35273002921747615,64
