train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
64,0,40,-86.59554303025098,-1.3530553598476716,0.7701657458563536,905,697,155,0,3.691535150645624,6.0,697,4039.8987503866515,4014.771633265394,25.127117121256756,63.12341797479143,0.002347811997406478,0.058695299935161954,3.668456245947622e-05,0.3600009336733655,64
128,1,104,-143.5107063343903,-2.2423547864748485,0.7844183564567769,937,735,208,0,3.7346938775510203,6.0,735,5247.809851645968,5220.79121285654,27.01863878942676,81.99702893196825,0.002943726600669567,0.07359316501673917,4.599572813546198e-05,0.3573156036576819,64
192,2,168,-123.39283176859323,-1.9280129963842692,0.778164924506388,861,670,180,0,3.746268656716418,6.0,670,4783.448377124398,4758.895545103488,24.552832020907694,74.74138089256871,0.002620572789290961,0.06551431973227402,4.0946449832671265e-05,0.3550375056302806,64
256,3,232,-188.4277393389686,-2.9441834271713843,0.7958740499457112,921,733,186,0,3.6821282401091406,6.0,733,5741.707075444462,5716.018075847887,25.68899959657568,89.71417305381972,0.0034149900374004457,0.08537475093501114,5.3359219334381964e-05,0.3527279391317437,64
320,4,296,-156.66282325877415,-2.447856613418346,0.8148148148148148,891,726,167,0,3.7052341597796143,6.0,726,5504.649202142898,5479.258913524238,25.390288618661085,86.01014378348277,0.003102380902615315,0.07755952256538287,4.84747016033643e-05,0.35076760804301854,64
384,5,360,-109.61655665437704,-1.7127586977246412,0.8043230944254836,879,707,183,0,3.7001414427157,6.0,707,4774.161429344259,4750.122189668556,24.03923967570537,74.59627233350405,0.002566792508989259,0.06416981272473148,4.0106132952957175e-05,0.3489625863082477,64
448,6,424,-181.96672619913224,-2.8432300968614412,0.8033826638477801,946,760,185,0,3.663157894736842,6.0,760,6142.359406568131,6116.314055430623,26.045351137507783,95.97436572762705,0.003414756137261372,0.0853689034315343,5.335556464470894e-05,0.34840194225754273,64
512,7,488,-149.5339020541507,-2.3364672195961047,0.7860520094562647,846,665,186,0,3.700751879699248,6.0,665,4665.216061337714,4640.790904967201,24.425156370510678,72.89400095840178,0.00286174590357068,0.071543647589267,4.471477974329187e-05,0.3475892481701065,64
576,8,552,-146.27839784461315,-2.2855999663220805,0.7891832229580574,906,715,191,0,3.6867132867132866,6.0,715,4994.150889594083,4967.769992928051,26.380896666031415,78.03360764990755,0.002942278769876965,0.07355696924692413,4.597310577932758e-05,0.34942604049367754,64
640,9,616,-178.70218889729176,-2.792221701520184,0.7642543859649122,912,697,214,0,3.672883787661406,6.0,697,5073.797332249632,5047.544909584211,26.252422665421214,79.2780833164005,0.0031957201254950948,0.07989300313737736,4.9933126960860856e-05,0.35174440834967835,64
704,10,680,-191.54946033934488,-2.9929603178022637,0.7720264317180616,908,701,202,0,3.5035663338088443,6.0,701,5014.275681167422,4990.299667121146,23.976014046276173,78.34805751824096,0.0033486448591731432,0.08371612147932858,5.232257592458036e-05,0.3558623187468055,64
768,11,744,-206.34031047306468,-3.2240673511416356,0.7944444444444444,900,715,185,0,3.6573426573426575,6.0,715,5397.90797046534,5372.941547371351,24.966423093992177,84.34231203852094,0.003549979879594147,0.08874949698985368,5.546843561865855e-05,0.3598062480481688,64
832,12,808,-309.71459834907495,-4.839290599204296,0.785329018338727,927,728,201,0,3.6607142857142856,6.0,728,6167.570551776304,6141.5864748743115,25.98407690199205,96.36828987150474,0.004593459108950284,0.1148364777237571,7.177279857734819e-05,0.3639013384278356,64
