algorithm,seed,train_slots,eval_episode_return,eval_completion_rate,eval_avg_dod,eval_avg_health_loss
MAPPO,0,1,-535.4923495034956,0.5824524312896406,0.33999385588906816,9.610144024967284e-05
MAPPO,0,512,-543.7604114578317,0.587737843551797,0.3405483013841629,0.00012126621289667487
MAPPO,0,1024,-505.88761099971146,0.857293868921776,0.3433633851507569,2.2913332130368207e-05
MAPPO,0,1536,-461.0367085265294,0.580338266384778,0.3400700258158802,0.00013861566869125615
MAPPO,0,2048,-378.73025112780084,0.5898520084566596,0.33961862681873356,7.725695089900988e-05
MAPPO,0,2560,-402.6772734506616,0.8086680761099366,0.3414168676200721,1.7385741206414063e-05
MAPPO,0,3072,-411.9845921122934,0.6109936575052854,0.33978291467152394,9.082521821892576e-05
MAPPO,0,3584,-502.4499310798659,0.6183932346723044,0.34013560625664724,6.352468519623812e-05
MAPPO,0,4096,-324.79985424712413,0.6490486257928119,0.33791449713738453,3.840910438657685e-05
MAPPO,0,4608,-312.5546150517541,0.6300211416490487,0.3386730392354388,6.991368917165953e-05
MAPPO,0,5120,-413.5615362147344,0.6659619450317125,0.33987096160279323,7.252554666135945e-05
MAPPO,0,5632,-309.570993737961,0.638477801268499,0.33804214566193314,6.199737538573498e-05
MAPPO,0,6144,-357.654313760991,0.6247357293868921,0.3387318567227382,2.344013544972317e-05
MAPPO,0,6656,-380.25502125567755,0.6479915433403806,0.3397903877586227,2.2241232553017e-05
MAPPO,0,7168,-331.25572265643353,0.8076109936575053,0.34014661992655887,1.012438954995159e-05
MAPPO,0,7680,-313.16152126415926,0.8012684989429175,0.3401708062074864,1.5165647965430512e-05
MAPPO,0,8192,-473.2434424392733,0.821353065539112,0.34246796036947175,2.0303027372451536e-05
IPPO,0,1,-397.41878674285874,0.5898520084566596,0.3406151883520803,6.695818575743143e-05
IPPO,0,512,-447.8992110809584,0.620507399577167,0.3411057881422284,4.1545109720380537e-05
IPPO,0,1024,-456.6806353336334,0.6374207188160677,0.3400966246255348,2.3634264800829743e-05
IPPO,0,1536,-345.43026976665465,0.5961945031712473,0.34031715523853306,6.774808096975414e-05
IPPO,0,2048,-321.50039613750954,0.6733615221987315,0.3375810702013651,2.317880953173691e-05
IPPO,0,2560,-291.192812534982,0.6395348837209303,0.3380235444273277,1.3030024205380197e-05
IPPO,0,3072,-327.77860641349946,0.6247357293868921,0.33857333503268466,4.110093374035841e-05
IPPO,0,3584,-408.8525414094519,0.5887949260042283,0.3388898234948454,6.104756078236072e-05
IPPO,0,4096,-345.949320042663,0.6004228329809725,0.33872182141689555,4.6592299340504495e-05
IPPO,0,4608,-326.3038045336262,0.7431289640591966,0.33996895697844665,1.725897901119084e-05
IPPO,0,5120,-428.3403943839613,0.48731501057082455,0.3383711332805946,4.2233161990260676e-05
IPPO,0,5632,-270.9522691065732,0.627906976744186,0.337431104257784,8.870296938945868e-05
IPPO,0,6144,-339.878858831068,0.5961945031712473,0.338333715433306,6.935126011141919e-05
IPPO,0,6656,-494.5073408345647,0.6839323467230444,0.3414179244764046,0.00011854532948752769
IPPO,0,7168,-446.54280349230476,0.7568710359408034,0.34129023379860335,1.2426557502546224e-05
IPPO,0,7680,-430.0879802879033,0.8107822410147991,0.34116240609217413,2.2127231065784497e-05
IPPO,0,8192,-322.4518953833487,0.7473572938689218,0.33884850833932517,4.1737112053525994e-05
MADDPG,0,1,-317.2935798684311,0.4883720930232558,0.33711199833469196,4.303743188171316e-05
MADDPG,0,512,-450.55450605003864,0.5856236786469344,0.34058133392305756,7.3243759095549e-05
MADDPG,0,1024,-306.4129484715569,0.339323467230444,0.33576686448448423,3.581182003934448e-05
MADDPG,0,1536,-537.1548590511584,0.6141649048625792,0.34184475158007893,0.00012720395944151652
MADDPG,0,2048,-444.35903992376177,0.5782241014799154,0.34035420073829037,7.32436349685421e-05
MADDPG,0,2560,-441.92459910286016,0.5782241014799154,0.34029185634234305,7.307904565140759e-05
MADDPG,0,3072,-519.7937568637026,0.6194503171247357,0.3406172268738203,0.00014163222960786374
MADDPG,0,3584,-536.8146774616353,0.653276955602537,0.34234279490426256,8.790644766316349e-05
MADDPG,0,4096,-447.77823518195993,0.7167019027484144,0.3417582185194474,4.6503903814746384e-05
MADDPG,0,4608,-414.27962801436075,0.6849894291754757,0.34160058074699007,2.6098065121573664e-05
MADDPG,0,5120,-380.63622839332055,0.5898520084566596,0.34019631337419093,6.621647117315438e-05
MADDPG,0,5632,-369.95686547289176,0.5655391120507399,0.33848344193913293,5.435071749745795e-05
MADDPG,0,6144,-380.6387500456435,0.6331923890063424,0.3404824044128152,4.7964906791613e-05
MADDPG,0,6656,-516.4700353183614,0.5560253699788583,0.3398617994095829,3.95234409762817e-05
MADDPG,0,7168,-440.26992259114627,0.5771670190274841,0.3410838629193711,6.714498990841962e-05
MADDPG,0,7680,-447.11095420014203,0.5835095137420718,0.34072040668384773,5.103764795876714e-05
MADDPG,0,8192,-408.1776458509762,0.6849894291754757,0.3413201316285992,3.096521132080497e-05
QMIX,0,1,-337.9339349788627,0.5771670190274841,0.3394990802885543,5.211532560929182e-05
QMIX,0,512,-432.36661762799685,0.7547568710359408,0.34245315215202055,7.896715420056759e-06
QMIX,0,1024,-338.21707855719916,0.6892177589852009,0.33973483832359075,1.910851377966129e-05
QMIX,0,1536,-362.49784804430533,0.6448202959830867,0.33845307443533945,2.966804257647683e-05
QMIX,0,2048,-441.1537562626139,0.7843551797040169,0.34069073499108954,0.00011025384814296626
QMIX,0,2560,-300.5935725028311,0.6469344608879493,0.33904994073988676,3.8901872063964504e-05
QMIX,0,3072,-309.4579205272438,0.595137420718816,0.3388208160614679,2.8326879158590332e-05
QMIX,0,3584,-467.2940274493127,0.7019027484143763,0.34132509908971564,8.87137200728803e-05
QMIX,0,4096,-266.8446172421666,0.6479915433403806,0.3382351763778817,5.0087005072160983e-05
QMIX,0,4608,-336.50671061318394,0.6363636363636364,0.3390578345008762,3.8558410920144685e-05
QMIX,0,5120,-505.2055738693188,0.7695560253699789,0.3432869513455049,4.887566205286884e-05
QMIX,0,5632,-615.7436094278231,0.693446088794926,0.3422109436217451,0.00014644051349511282
QMIX,0,6144,-322.54225586432796,0.8002114164904862,0.34014488399877985,5.638608256958767e-05
QMIX,0,6656,-353.04315352631244,0.635306553911205,0.3389243093543107,9.626814655213529e-05
QMIX,0,7168,-251.94623533930684,0.6331923890063424,0.33757864485895483,5.2597583680998456e-05
QMIX,0,7680,-387.76063795239116,0.686046511627907,0.3406714536642765,5.110799541061073e-05
QMIX,0,8192,-279.2998273228678,0.6585623678646935,0.33774941226220034,1.8471503042232154e-05
