train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
64,0,1,395.58147612931475,6.180960564520543,0.7524682651622003,0.7524682651622003,1418,1067,285,0,52.5625,3364.0,3.152764761012184,5.0,1067,0.030687105701186282,1963.9747648759221,1924.3891196316815,39.58564524424157,0.01759332909133075,0.00070373316365323,1.0995830682081718e-05,0.3518127995815882,64
128,1,2,406.77952654897115,6.355930102327674,0.8035450516986706,0.8035450516986706,1354,1088,275,0,53.828125,3445.0,3.166360294117647,5.0,1088,0.030992421986853556,1983.5150071586277,1946.3046934203403,37.21031373828694,0.017710260000342256,0.0007084104000136903,1.106891250021391e-05,0.34794155699701185,64
192,2,3,385.3934959844223,6.021773374756599,0.7623833452979182,0.7623833452979182,1393,1062,322,0,53.40625,3418.0,3.2184557438794728,5.0,1062,0.03281780149450055,2100.339295648035,2060.1015721437375,40.23772350429812,0.018355410897863217,0.0007342164359145286,1.147213181116451e-05,0.34396906575021813,64
256,3,4,389.77581472046614,6.0902471050072835,0.7568517217146873,0.7568517217146873,1423,1077,341,0,56.109375,3591.0,3.3342618384401113,5.0,1077,0.030124692319905378,1927.9803084739442,1886.5299950010524,41.45031347289231,0.016451239796685693,0.0006580495918674276,1.0282024872928557e-05,0.3401755224802864,64
320,4,5,414.01227952954,6.468941867649063,0.7873684210526316,0.7873684210526316,1425,1122,317,0,57.9375,3708.0,3.304812834224599,5.0,1122,0.030824960265323557,1972.7974569807077,1930.0455099813419,42.75194699936565,0.017052501079051645,0.0006821000431620658,1.0657813174407278e-05,0.3361835550157802,64
384,5,6,387.70929034491,6.057957661639219,0.7427184466019418,0.7427184466019418,1442,1071,339,0,56.796875,3635.0,3.3940242763772175,5.0,1071,0.03109887677434389,1990.328113558009,1945.76869091834,44.55942263966977,0.016898091989998854,0.0006759236795999542,1.0561307493749284e-05,0.3322480013906222,64
448,6,7,388.0007682648445,6.0625120041381955,0.7593244194229416,0.7593244194229416,1421,1079,355,0,59.328125,3797.0,3.518999073215941,5.0,1079,0.02941201910309828,1882.36922259829,1836.9424405003542,45.42678209793551,0.01597544977132097,0.0006390179908528389,9.984656107075607e-06,0.3282985476712552,64
512,7,8,368.92955715933294,5.764524330614577,0.7362093352192363,0.7362093352192363,1414,1041,372,0,59.75,3824.0,3.6733909702209413,5.0,1041,0.028887803455021885,1848.8194211214006,1799.302455944252,49.516965177147625,0.015139594693251558,0.0006055837877300623,9.462246683282224e-06,0.32430328209087084,64
576,8,9,357.97906023496546,5.593422816171335,0.7023728813559322,0.7023728813559322,1475,1036,416,0,60.03125,3842.0,3.7084942084942085,5.0,1036,0.02720407613893446,1741.0608728918053,1689.8845348685043,51.176338023300474,0.01486027979305951,0.0005944111917223804,9.287674870662193e-06,0.3202045702321986,64
640,9,10,383.9262574249442,5.998847772264753,0.7517482517482518,0.7517482517482518,1430,1075,371,0,62.34375,3990.0,3.7116279069767444,5.0,1075,0.029824024870802514,1908.737591731361,1859.0754281000652,49.66216363129605,0.015800750266268294,0.0006320300106507318,9.875468916417685e-06,0.3165860797846416,64
704,10,11,400.759806504445,6.261871976631953,0.7796730632551528,0.7796730632551528,1407,1097,336,0,63.328125,4053.0,3.6946216955332725,5.0,1097,0.029495500884628198,1887.7120566162046,1839.5070657755434,48.2049908406611,0.01527066802101807,0.0006108267208407228,9.544167513136294e-06,0.31438169262490556,64
768,11,12,370.4697025580436,5.788589102469431,0.7357549857549858,0.7357549857549858,1404,1033,350,0,57.984375,3711.0,3.5924491771539206,5.0,1033,0.02940122147391437,1881.6781743305198,1833.6914210005252,47.98675332999547,0.014535090870133612,0.0005814036348053444,9.084431793833507e-06,0.31293287509820644,64
832,12,13,389.734512269867,6.089601754216672,0.7479395604395604,0.7479395604395604,1456,1089,364,0,61.1875,3916.0,3.595959595959596,5.0,1089,0.03237539970325863,2072.0255810085523,2022.1011227826589,49.92445822589329,0.017385023086381967,0.0006954009234552787,1.086563942898873e-05,0.3114547480809709,64
896,13,14,410.98232504849574,6.421598828882746,0.7710184552289815,0.7710184552289815,1463,1128,342,0,62.15625,3978.0,3.526595744680851,5.0,1128,0.03171365734557672,2029.67407011691,1982.318273112009,47.35579700490009,0.017487797995378012,0.0006995119198151205,1.0929873747111259e-05,0.30981225983692484,64
960,14,15,425.6866142347808,6.65135334741845,0.7915512465373962,0.7915512465373962,1444,1143,300,0,63.171875,4043.0,3.537182852143482,5.0,1143,0.03210141983771853,2054.490869613986,2007.5930378607532,46.89783175323267,0.01789793510575109,0.0007159174042300436,1.1186209441094431e-05,0.3088637959826037,64
1024,15,16,367.13125923263294,5.73642592550989,0.7382310984308131,0.7382310984308131,1402,1035,361,0,57.0625,3652.0,3.528502415458937,5.0,1035,0.0290052243633142,1856.334359252109,1809.3130011566413,47.02135809546742,0.016725624738205894,0.0006690249895282358,1.0453515461378684e-05,0.30876746294781665,64
1088,16,17,382.8854755845483,5.9825855560085675,0.7444444444444445,0.7444444444444445,1440,1072,359,0,59.234375,3791.0,3.5363805970149254,5.0,1072,0.030356229859920158,1942.7987110348902,1894.1290532668922,48.66965776799796,0.017997851623684256,0.0007199140649473702,1.1248657264802659e-05,0.30844289797896607,64
1152,17,18,379.1414458695373,5.92408509171152,0.7684441197954711,0.7684441197954711,1369,1052,336,0,58.0,3712.0,3.5285171102661597,5.0,1052,0.028923165193868786,1851.0825724076024,1805.0653847750864,46.01718763251606,0.016819600274530767,0.0006727840109812306,1.0512250171581729e-05,0.30782250569769254,64
1216,18,19,373.86770539665025,5.84168289682266,0.7494615936826992,0.7494615936826992,1393,1044,349,0,55.78125,3570.0,3.4195402298850577,5.0,1044,0.028572935833875667,1828.6678933680428,1783.6266534723236,45.04123989571969,0.016145152163077475,0.000645806086523099,1.0090720101923422e-05,0.3075916669313679,64
1280,19,20,388.29806576513283,6.0671572775802005,0.748792270531401,0.748792270531401,1449,1085,362,0,61.34375,3926.0,3.6184331797235023,5.0,1085,0.031037371124941666,1986.3917519962665,1936.2305411485763,50.1612108476909,0.017194458622786655,0.0006877783449114661,1.0746536639241658e-05,0.30805223732644493,64
