train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
64,0,1,388.9645765070075,6.077571507921992,0.7454160789844851,0.7454160789844851,1418,1057,295,0,50.96875,3262.0,3.0860927152317883,5.0,1057,0.032254524765620865,2064.2895849997353,2026.2709218455805,38.018663154154325,0.01833357379726181,0.0007333429518904724,1.145848362328863e-05,0.3518646086633258,64
128,1,2,399.68321288053414,6.245050201258346,0.793205317577548,0.793205317577548,1354,1074,283,0,53.265625,3409.0,3.1741154562383613,5.0,1074,0.03138620280363488,2008.7169794326326,1969.7665154945598,38.95046393807182,0.017011981094564203,0.0006804792437825681,1.0632488184102627e-05,0.34799224180281235,64
192,2,3,400.3468121128368,6.255418939263075,0.7810480976310122,0.7810480976310122,1393,1088,301,0,53.375,3416.0,3.139705882352941,5.0,1088,0.03484583010489496,2230.1331267132778,2191.5457821909977,38.58734452228,0.019460977752443206,0.0007784391100977283,1.2163111095277004e-05,0.34411994857226064,64
256,3,4,410.8642397978796,6.419753746841868,0.7800421644413211,0.7800421644413211,1423,1110,302,0,54.546875,3491.0,3.145045045045045,5.0,1110,0.032655029307862744,2089.921875703216,2051.8312106945077,38.09066500870825,0.0178746179885699,0.000714984719542796,1.1171636242856188e-05,0.34043616299587365,64
320,4,5,439.94239135403603,6.874099864906813,0.8196491228070175,0.8196491228070175,1425,1168,278,0,58.375,3736.0,3.1986301369863015,5.0,1168,0.03356034197257974,2147.8618862451035,2108.0996136611075,39.76227258399661,0.0192775815864836,0.000771103263459344,1.204848849155225e-05,0.33657786686330965,64
384,5,6,419.17798823567364,6.549656066182401,0.7794729542302358,0.7794729542302358,1442,1124,289,0,54.265625,3473.0,3.0898576512455516,5.0,1124,0.03331934945004564,2132.4383648029207,2094.914688884105,37.52367591881517,0.018498254302223193,0.0007399301720889277,1.1561408938889496e-05,0.33277059011366705,64
448,6,7,428.77395306370477,6.699593016620387,0.8057705840957072,0.8057705840957072,1421,1145,291,0,55.4375,3548.0,3.098689956331878,5.0,1145,0.03502758074496827,2241.765167677969,2205.6426862681883,36.122481409781265,0.018657912559147442,0.0007463165023658977,1.1661195349467152e-05,0.32897293418497353,64
512,7,8,405.15832088654577,6.330598763852278,0.7786421499292786,0.7786421499292786,1414,1101,309,0,55.140625,3529.0,3.2052679382379656,5.0,1101,0.03393399923719461,2171.775951180455,2131.4702144434486,40.3057367370058,0.018284524076784547,0.0007313809630713819,1.1427827547990342e-05,0.32529968843738566,64
576,8,9,414.11219812958996,6.470503095774843,0.7640677966101694,0.7640677966101694,1475,1127,331,0,56.109375,3591.0,3.186335403726708,5.0,1127,0.031339050576639056,2005.6992369048994,1965.3094074287321,40.3898294761669,0.01723918820287244,0.0006895675281148976,1.0774492626795275e-05,0.3213576654644389,64
640,9,10,424.42507375266587,6.631641777385404,0.8006993006993007,0.8006993006993007,1430,1145,306,0,58.046875,3715.0,3.2445414847161573,5.0,1145,0.03316028463516861,2122.258216650791,2081.6857909694745,40.57242568131719,0.019085031499685292,0.0007634012599874117,1.1928144687303308e-05,0.3178226501726211,64
704,10,11,429.23209829430544,6.706751535848523,0.8109452736318408,0.8109452736318408,1407,1141,281,0,56.8125,3636.0,3.186678352322524,5.0,1141,0.031635354465124124,2024.662685767944,1985.4561130969628,39.20657267098112,0.017385366731549574,0.000695414669261983,1.0865854207218484e-05,0.3154426312487897,64
768,11,12,406.38778049803705,6.349809070281829,0.782051282051282,0.782051282051282,1404,1098,293,0,54.84375,3510.0,3.19672131147541,5.0,1098,0.033881711321672614,2168.429524587047,2128.901483549898,39.52804103715009,0.019376863683465834,0.0007750745473386333,1.2110539802166146e-05,0.31403479866998507,64
832,12,13,427.016826858891,6.672137919670172,0.7877747252747253,0.7877747252747253,1456,1147,298,0,57.578125,3685.0,3.212728857890148,5.0,1147,0.034185337384628416,2187.861592616219,2147.1816266307205,40.67996598549811,0.018694200821054458,0.0007477680328421783,1.1683875513159036e-05,0.31269602239585226,64
896,13,14,443.20796607222803,6.925124469878563,0.807928913192071,0.807928913192071,1463,1182,291,0,59.015625,3777.0,3.1954314720812182,5.0,1182,0.03492471316003852,2235.1816422424654,2195.645260092483,39.53638214998266,0.019949280464514028,0.0007979712185805611,1.2468300290321267e-05,0.31116232787410697,64
960,14,15,425.30062012516464,6.6453221894556975,0.7908587257617729,0.7908587257617729,1444,1142,298,0,57.328125,3669.0,3.212784588441331,5.0,1142,0.0343412790020038,2197.8418561282433,2158.611794495944,39.23006163229848,0.018410403288284465,0.0007364161315313786,1.150650205517779e-05,0.3104007584886669,64
1024,15,16,399.07703739205107,6.235578709250798,0.7774607703281027,0.7774607703281027,1402,1090,311,0,54.125,3464.0,3.1779816513761467,5.0,1090,0.03228768647006672,2066.41193408427,2026.907301481814,39.50463260245581,0.01932998164175609,0.0007731992656702435,1.2081238526097555e-05,0.31039862185347683,64
1088,16,17,427.01873101252295,6.672167672070671,0.7923611111111111,0.7923611111111111,1440,1141,291,0,57.671875,3691.0,3.2348816827344433,5.0,1141,0.030493321184267206,1951.5725557931012,1908.2775285100768,43.29502728302293,0.017181666063584518,0.0006872666425433808,1.0738541289740325e-05,0.31005419188241723,64
1152,17,18,398.99456402350825,6.234290062867316,0.7947406866325786,0.7947406866325786,1369,1088,308,0,55.890625,3577.0,3.2876838235294117,5.0,1088,0.032200422800361235,2060.8270592231192,2021.1308700549541,39.69618916816568,0.019680196024111304,0.0007872078409644521,1.2300122515069564e-05,0.3094896060359813,64
1216,18,19,395.1588647176585,6.174357261213414,0.7738693467336684,0.7738693467336684,1393,1078,305,0,54.40625,3482.0,3.230055658627087,5.0,1078,0.03163990474510819,2024.953903686924,1984.3233267938733,40.63057689305108,0.01906279844462227,0.0007625119377848908,1.1914249027888918e-05,0.30948017691888824,64
